日期,="A股全指.收盘点位",="市值/M2"
2025-08-26,=5715.7895,=0.3117
2025-08-22,=5620.4251,=0.3072
2025-08-15,=5412.0181,=0.2962
2025-08-08,=5258.7829,=0.2891
2025-08-01,=5161.0932,=0.2833
2025-07-31,,=0.2862
2025-07-25,=5220.9501,=0.2859
2025-07-18,=5110.4533,=0.2806
2025-07-11,=5045.7649,=0.2776
2025-07-04,=4969.2135,=0.2737
2025-06-30,,=0.2702
2025-06-27,=4913.6640,=0.2740
2025-06-20,=4754.8273,=0.2661
2025-06-13,=4813.1973,=0.2674
2025-06-06,=4834.8625,=0.2684
2025-05-31,,=0.2648
2025-05-30,=4764.6041,=0.2653
2025-05-23,=4771.6242,=0.2654
2025-05-16,=4805.3678,=0.2671
2025-05-09,=4773.3335,=0.2656
2025-04-30,=4666.7960,=0.2598
2025-04-25,=4667.5574,=0.2599
2025-04-18,=4616.8376,=0.2573
2025-04-11,=4603.0324,=0.2554
2025-04-03,=4809.7335,=0.2661
2025-03-31,,=0.2683
2025-03-28,=4868.7456,=0.2729
2025-03-21,=4931.8154,=0.2755
2025-03-14,=5037.2472,=0.2804
2025-03-07,=4964.7740,=0.2764
2025-02-28,=4847.4068,=0.2708
2025-02-21,=4973.1136,=0.2787
2025-02-14,=4875.0667,=0.2740
2025-02-07,=4796.0356,=0.2698
2025-01-31,,=0.2624
2025-01-27,=4632.6668,=0.2666
2025-01-24,=4674.2252,=0.2681
2025-01-17,=4636.0726,=0.2661
2025-01-10,=4475.6126,=0.2580
2025-01-03,=4523.1235,=0.2611
2024-12-31,,=0.2789
2024-12-27,=4864.1813,=0.2803
2024-12-20,=4891.5437,=0.2802
2024-12-13,=4947.3916,=0.2817
2024-12-06,=4956.5690,=0.2821
2024-11-30,,=0.2756
2024-11-29,=4845.8985,=0.2776
2024-11-22,=4746.3702,=0.2719
2024-11-15,=4847.6288,=0.2774
2024-11-08,=5049.4472,=0.2880
2024-11-01,=4723.3393,=0.2705
2024-10-31,,=0.2734
2024-10-25,=4767.4349,=0.2736
2024-10-18,=4647.2965,=0.2677
2024-10-11,=4514.1935,=0.2614
2024-09-30,=4706.7729,=0.2724
2024-09-27,=4293.1102,=0.2531
2024-09-20,=3727.8114,=0.2219
2024-09-13,=3681.4386,=0.2192
2024-09-06,=3758.1840,=0.2240
2024-08-31,,=0.2300
2024-08-30,=3854.7444,=0.2314
2024-08-23,=3806.9257,=0.2299
2024-08-16,=3886.6404,=0.2336
2024-08-09,=3888.7752,=0.2330
2024-08-02,=3956.1153,=0.2368
2024-07-31,,=0.2354
2024-07-26,=3927.6244,=0.2341
2024-07-19,=4042.7301,=0.2410
2024-07-12,=4036.8368,=0.2409
2024-07-05,=3989.4446,=0.2385
2024-06-30,,=0.2409
2024-06-28,=4039.9675,=0.2434
2024-06-21,=4119.1720,=0.2472
2024-06-14,=4188.7824,=0.2500
2024-06-07,=4192.8244,=0.2505
2024-05-31,=4288.1103,=0.2553
2024-05-24,=4302.1328,=0.2565
2024-05-17,=4424.8129,=0.2627
2024-05-10,=4425.0561,=0.2628
2024-04-30,=4353.8816,=0.2588
2024-04-26,=4305.3487,=0.2535
2024-04-19,=4226.2189,=0.2499
2024-04-12,=4235.3772,=0.2489
2024-04-03,=4353.7389,=0.2548
2024-03-31,,=0.2522
2024-03-29,=4310.6697,=0.2566
2024-03-22,=4370.8471,=0.2590
2024-03-15,=4372.0249,=0.2588
2024-03-08,=4285.6193,=0.2551
2024-03-01,=4286.5038,=0.2546
2024-02-29,,=0.2502
2024-02-23,=4187.6097,=0.2518
2024-02-08,=3985.3963,=0.2392
2024-02-02,=3765.6602,=0.2273
2024-01-31,,=0.2476
2024-01-26,=4142.7269,=0.2522
2024-01-19,=4117.7214,=0.2488
2024-01-12,=4230.0851,=0.2550
2024-01-05,=4292.7876,=0.2591
2023-12-31,,=0.2653
2023-12-29,=4421.9569,=0.2662
2023-12-22,=4310.3902,=0.2597
2023-12-15,=4390.0106,=0.2638
2023-12-08,=4433.6740,=0.2632
2023-12-01,=4531.1431,=0.2684
2023-11-30,,=0.2695
2023-11-24,=4558.1807,=0.2723
2023-11-17,=4602.6081,=0.2742
2023-11-10,=4567.8864,=0.2722
2023-11-03,=4523.6681,=0.2699
2023-10-31,,=0.2681
2023-10-27,=4490.0996,=0.2668
2023-10-20,=4402.6931,=0.2622
2023-10-13,=4600.1303,=0.2732
2023-09-30,,=0.2746
2023-09-28,=4621.4108,=0.2772
2023-09-22,=4639.8568,=0.2786
2023-09-15,=4625.1348,=0.2777
2023-09-08,=4654.7461,=0.2791
2023-09-01,=4690.2923,=0.2810
2023-08-31,,=0.2729
2023-08-25,=4550.0167,=0.2744
2023-08-18,=4683.6868,=0.2821
2023-08-11,=4798.5827,=0.2880
2023-08-04,=4967.3118,=0.2974
2023-07-31,,=0.2955
2023-07-28,=4924.5186,=0.2935
2023-07-21,=4791.5230,=0.2856
2023-07-14,=4889.7442,=0.2922
2023-07-07,=4831.1695,=0.2884
2023-06-30,=4859.8924,=0.2898
2023-06-21,=4853.0233,=0.2946
2023-06-16,=4965.4835,=0.3013
2023-06-09,=4827.0025,=0.2896
2023-06-02,=4877.5536,=0.2915
2023-05-31,,=0.2895
2023-05-26,=4841.9347,=0.2907
2023-05-19,=4916.9769,=0.2955
2023-05-12,=4888.8439,=0.2936
2023-05-05,=4976.5826,=0.2988
2023-04-30,,=0.2993
2023-04-28,=4998.8052,=0.2987
2023-04-21,=5003.5475,=0.2981
2023-04-14,=5131.8160,=0.3041
2023-04-07,=5162.8095,=0.3047
2023-03-31,=5074.0300,=0.2996
2023-03-24,=5060.3400,=0.3049
2023-03-17,=4967.6800,=0.3006
2023-03-10,=4993.5100,=0.3010
2023-03-03,=5161.7900,=0.3101
2023-02-28,,=0.3062
2023-02-24,=5105.6000,=0.3081
2023-02-17,=5054.7700,=0.3048
2023-02-10,=5139.4300,=0.3092
2023-02-03,=5143.6800,=0.3091
2023-01-31,,=0.3065
2023-01-20,=5096.7800,=0.3150
2023-01-13,=4959.1400,=0.3071
2023-01-06,=4895.2400,=0.3034
2022-12-31,,=0.2952
2022-12-30,=4756.6200,=0.2971
2022-12-23,=4689.8200,=0.2928
2022-12-16,=4897.9500,=0.3052
2022-12-09,=4973.3500,=0.3031
2022-12-02,=4893.8200,=0.2985
2022-11-30,,=0.2917
2022-11-25,=4777.8800,=0.2955
2022-11-18,=4842.8100,=0.2981
2022-11-11,=4817.2400,=0.2966
2022-11-04,=4808.2300,=0.2960
2022-10-31,,=0.2785
2022-10-28,=4503.1400,=0.2771
2022-10-21,=4706.9100,=0.2891
2022-10-14,=4762.0200,=0.2917
2022-09-30,=4631.6800,=0.2847
2022-09-23,=4750.7100,=0.2948
2022-09-16,=4836.3700,=0.2994
2022-09-09,=5087.4700,=0.3140
2022-09-02,=4994.8100,=0.3078
2022-08-31,,=0.3140
2022-08-26,=5109.4400,=0.3161
2022-08-19,=5209.7200,=0.3214
2022-08-12,=5228.8900,=0.3221
2022-08-05,=5142.2700,=0.3167
2022-07-31,,=0.3187
2022-07-29,=5174.9800,=0.3183
2022-07-22,=5194.8900,=0.3191
2022-07-15,=5133.3200,=0.3151
2022-07-08,=5308.5200,=0.3257
2022-07-01,=5336.1400,=0.3272
2022-06-30,,=0.3236
2022-06-24,=5269.8100,=0.3306
2022-06-17,=5165.7900,=0.3246
2022-06-10,=5079.6900,=0.3135
2022-06-02,=4931.2100,=0.3051
2022-05-31,,=0.2968
2022-05-27,=4795.2900,=0.3001
2022-05-20,=4857.2600,=0.3032
2022-05-13,=4739.1900,=0.2963
2022-05-06,=4580.5500,=0.2869
2022-04-30,,=0.2906
2022-04-29,=4647.0200,=0.2909
2022-04-22,=4718.9100,=0.2954
2022-04-15,=4957.7200,=0.3087
2022-04-08,=5078,=0.3154
2022-04-01,=5170.9800,=0.3202
2022-03-31,,=0.3155
2022-03-25,=5103.0700,=0.3228
2022-03-18,=5179.1400,=0.3271
2022-03-11,=5248.1100,=0.3322
2022-03-04,=5464.8700,=0.3459
2022-02-28,,=0.3492
2022-02-25,=5536.7500,=0.3507
2022-02-18,=5564.3800,=0.3527
2022-02-11,=5471.5700,=0.3475
2022-01-31,,=0.3421
2022-01-28,=5405.9100,=0.3490
2022-01-21,=5695.0200,=0.3667
2022-01-14,=5746.2300,=0.3703
2022-01-07,=5811.6100,=0.3746
2021-12-31,=5969.8000,=0.3836
2021-12-24,=5896.6400,=0.3835
2021-12-17,=5951.2900,=0.3866
2021-12-10,=6008.6200,=0.3771
2021-12-03,=5935.4000,=0.3721
2021-11-30,,=0.3684
2021-11-26,=5876.0200,=0.3716
2021-11-19,=5853.5700,=0.3701
2021-11-12,=5821.3400,=0.3673
2021-11-05,=5702.4800,=0.3603
2021-10-31,,=0.3622
2021-10-29,=5740.2900,=0.3612
2021-10-22,=5775.4400,=0.3640
2021-10-15,=5740.9900,=0.3626
2021-10-08,=5769.2900,=0.3647
2021-09-30,=5723.4600,=0.3622
2021-09-24,=5807.9600,=0.3722
2021-09-17,=5827.8100,=0.3728
2021-09-10,=5980.3600,=0.3817
2021-09-03,=5767.8800,=0.3687
2021-08-31,,=0.3670
2021-08-27,=5757.1500,=0.3686
2021-08-20,=5626.2400,=0.3597
2021-08-13,=5804.7300,=0.3701
2021-08-06,=5738.2000,=0.3644
2021-07-31,,=0.3571
2021-07-30,=5607.7500,=0.3547
