日期,="中证全指.收盘点位",="宏观.大陆-M1增长率(右1)",="宏观.大陆-M2增长率(右1)",="M1与M2剪刀差(单位: 元)"
2025-08-26,=5715.7895,,,
2025-08-22,=5620.4300,,,
2025-08-15,=5412.0200,,,
2025-08-08,=5258.7800,,,
2025-08-01,=5161.0900,,,
2025-07-31,,=0.0559,=0.0878,=0.0319
2025-07-25,=5220.9500,,,
2025-07-18,=5110.4500,,,
2025-07-11,=5045.7600,,,
2025-07-04,=4969.2100,,,
2025-06-30,,=0.0462,=0.0829,=0.0366
2025-06-27,=4913.6640,,,
2025-06-20,=4754.8273,,,
2025-06-13,=4813.1973,,,
2025-06-06,=4834.8625,,,
2025-05-31,,=0.0233,=0.0793,=0.0560
2025-05-30,=4764.6041,,,
2025-05-23,=4771.6242,,,
2025-05-16,=4805.3678,,,
2025-05-09,=4773.3335,,,
2025-04-30,=4666.7960,=0.0152,=0.0796,=0.0644
2025-04-25,=4667.5574,,,
2025-04-18,=4616.8376,,,
2025-04-11,=4603.0324,,,
2025-04-03,=4809.7335,,,
2025-03-31,,=0.0156,=0.0698,=0.0542
2025-03-28,=4868.7456,,,
2025-03-21,=4931.8154,,,
2025-03-14,=5037.2472,,,
2025-03-07,=4964.7740,,,
2025-02-28,=4847.4068,=0.0011,=0.0700,=0.0689
2025-02-21,=4973.1136,,,
2025-02-14,=4875.0667,,,
2025-02-07,=4796.0356,,,
2025-01-31,,=0.0039,=0.0702,=0.0663
2025-01-27,=4632.6668,,,
2025-01-24,=4674.2252,,,
2025-01-17,=4636.0726,,,
2025-01-10,=4475.6126,,,
2025-01-03,=4523.1235,,,
2024-12-31,,=-0.0141,=0.0727,=0.0868
2024-12-27,=4864.1813,,,
2024-12-20,=4891.5437,,,
2024-12-13,=4947.3916,,,
2024-12-06,=4956.5700,,,
2024-11-30,,=-0.0370,=0.0713,=0.1083
2024-11-29,=4845.8985,,,
2024-11-22,=4746.3702,,,
2024-11-15,=4847.6288,,,
2024-11-08,=5049.4472,,,
2024-11-01,=4723.3393,,,
2024-10-31,,=-0.0613,=0.0745,=0.1358
2024-10-25,=4767.4349,,,
2024-10-18,=4647.2965,,,
2024-10-11,=4514.1935,,,
2024-09-30,=4706.7729,=-0.0740,=0.0684,=0.1424
2024-09-27,=4293.1102,,,
2024-09-20,=3727.8114,,,
2024-09-13,=3681.4386,,,
2024-09-06,=3758.1840,,,
2024-08-31,,=-0.0710,=0.0630,=0.1340
2024-08-30,=3854.7444,,,
2024-08-23,=3806.9257,,,
2024-08-16,=3886.6404,,,
2024-08-09,=3888.7752,,,
2024-08-02,=3956.1153,,,
2024-07-31,,=-0.0660,=0.0630,=0.1290
2024-07-26,=3927.6244,,,
2024-07-19,=4042.7301,,,
2024-07-12,=4036.8368,,,
2024-07-05,=3989.4446,,,
2024-06-30,,=-0.0500,=0.0620,=0.1120
2024-06-28,=4039.9675,,,
2024-06-21,=4119.1720,,,
